Rank,Player,Country,Birthdate
1819,Daniel Vrba,CZE,7/23/1996
1819,Daniil Strelchenko,UKR,11/11/2000
1819,Dax Donders,NED,7/14/2000
1819,Emmanuel Idoko,NGR,2/1/1997
1819,Enrique Luque Rico,ESP,7/5/2000
1819,Erik Holt Crossman,AUS,5/13/1997
1819,Ethan Denzel Sibanda,ZIM,
1819,Filip Stipic,SRB,
1819,Francis Casey Alcantara,PHI,2/4/1992
1819,Francisco Vittar,ARG,5/16/1999
1819,Gunjan Jadhav,IND,
1819,Herman Meeuwes Mattheo Knoop,NED,3/6/1998
1819,Hikaru Shiraishi,JPN,5/22/2000
1819,Hunter Reese,USA,1/11/1993
1819,Igor Trunov,RUS,
1819,Jacob Bullard,USA,2/21/2001
1819,Jean Jacques Rakotohasy,MAD,8/23/1994
1819,Jorge Blanco Guadalupe,ESP,11/17/1997
1819,Juan Sebastian Zabala Vargas,ECU,
1819,Julian Cundom,ARG,4/10/2001
1819,Karl Poling,USA,8/4/1999
1819,Kosuke Okagaki,JPN,12/18/1998
1819,Kris Krawcewicz,AUT,4/30/1996
1819,Laelson Rodrigues,BRA,8/2/1999
1819,Lakshit Sood,IND,2/20/1991
1819,Leny Mitjana,FRA,8/1/1994
1819,Leonardo Catani,ITA,
1819,Liova Ajavon,TOG,6/17/1999
1819,Lluc Mir Anglada,ESP,
1819,Louis Herman,BEL,5/3/2001
1819,Marcus Walters,GBR,4/3/1998
1819,Matas Vasiliauskas,LTU,
1819,Mate Zsiga,HUN,5/5/1992
1819,Mateusz Terczynski,POL,3/2/1996
1819,Mikail Alimli ,FRA,
1819,Mohamed Hassan,EGY,7/18/1978
1819,Moritz Pfaff,GER,11/19/2000
1819,Nicolas Demeroutis,BEL,
1819,Nigmat Shofayziev,UZB,6/30/1993
1819,Nikita Alosha,UKR,4/17/2000
1819,Nikola Slavic,SWE,9/26/2000
1819,Noppadol Noikor,THA,
1819,Orel Kimhi,ISR,
1819,Oscar Galimardanov,RUS,
1819,Petar Pjevcevic,SRB,7/7/1995
1819,Peter Benjamin Privara ,SVK,8/2/2004
1819,Quinn Vandecasteele,USA,
1819,Raul Garcia,BOL,3/5/2002
1819,Raul Gerardo Centeno Arteaga,ECU,8/29/2001
1819,Riley Smith,USA,6/5/1997
1819,Robbie Arends,RSA,11/25/2001
1819,Rodrigo Nicolas Montes De Oca Murillo,PER,
1819,Rodrigo Sanchez,PER,9/19/1991
1819,Romain Bauvy,FRA,6/29/1994
1819,Shahin Khaledan,IRI,6/7/1990
1819,Shendrit Deari,MKD,2/11/1989
1819,Siim Troost,EST,12/7/1999
1819,Simone Cacciapuoti,ITA,8/27/2000
1819,Strahinja Rakic,SRB,3/30/1996
1819,Tomas Gerini,ARG,7/20/1995
1819,Tuur Heuvinck,BEL,
1819,Viktor Nikitin,RUS,12/3/1997
1819,Younes Lalami Laaroussi,MAR,4/18/2001
1901,Abraham Asaba,GHA,5/21/1997
1901,Adam Nagoudi,TUN,9/9/2000
1901,Alan Fernando Rubio Fierros,MEX,2/3/1999
1901,Alan Magadan,MEX,
1901,Alessandro Dragoni,ITA,7/27/1997
1901,Alex Kobelt,USA,4/14/1997
1901,Alvaro Blanco Damea,ESP,5/30/1997
1901,Andrea Gola,ITA,8/31/2001
1901,Antonio Muniz Hidalgo,ESP,1/18/2000
1901,Anurag Nenwani,IND,5/9/1998
1901,Athanassios Manekas,GRE,9/8/1998
1901,Baker Newman,USA,10/6/1995
1901,Bradley Paliska ,FRA,
1901,Chris Wettengel,USA,4/17/1982
1901,Clay Crawford,GBR,1/26/1995
1901,Clement Chidekh,FRA,6/13/2001
1901,Clement Deleersnyder,FRA,
1901,Colin Markes,USA,3/1/1997
1901,Dan Martin,CAN,
1901,Darko Bojanovic,BIH,2/8/1997
1901,Deni Zmak,CRO,5/27/1989
1901,Eduardo Roldan,MEX,
1901,Eric Ahren Moonga,SWE,12/27/1995
1901,Gerard Escandell Juan,ESP,10/10/2000
1901,Gianluca Acquaroli,ITA,10/27/1994
1901,Guy Den Ouden,NED,4/8/2002
1901,Huixin Wang,CHN,8/4/1996
1901,Jan Mertl,CZE,1/3/1982
1901,Ji Hoon Son,KOR,9/9/1994
1901,Jing Long Weng,NED,
1901,Jonas Maier,GER,
1901,Joshua Luck,RSA,11/20/1995
1901,Kamen Damov,CAN,
1901,Kazuki Shimizu,JPN,2/25/2000
1901,Keivon Tabrizi,SUI,7/23/1996
1901,Kento Yamada,JPN,7/19/1998
1901,Kevin Chahoud,SWE,
1901,Kevin Cheruiyot,KEN,1/28/1998
1901,Leighton Allen,USA,
1901,Leonardo Lopez Linquet,ARG,
1901,Lisandru Rodriguez,FRA,5/28/2002
1901,Lynn Max Kempen,GER,11/11/1994
1901,Maks Kasnikowski,POL,7/6/2003
1901,Marc Othman Ktiri ,ESP,
1901,Mario Mansilla Diez,ESP,5/12/2002
1901,Masi Sarpola,FIN,2/12/1999
1901,Patrick Zahraj,GER,7/17/1999
1901,Pierre Malan,RSA,2/27/2001
1901,Plamen Milushev,BUL,8/6/1994
1901,Qun Gao,CHN,2/18/1994
1901,Rafael Giotis,GER,11/25/2000
1901,Robert Rumler,CZE,12/1/1993
1901,Roy Sarut De Valk,NED,12/30/1991
1901,Sam Ryan Ziegann,AUS,7/25/1998
1901,Seung Ri Choi,KOR,6/23/1990
1901,Shaheed Alam,SGP,7/9/1998
1901,Sheng Tang,CHN,1/28/2000
1901,Siphosothando Montsi,RSA,11/9/1999
1901,Stefanos Sakellaridis,GRE,9/13/2004
1901,Stijn Pel,NED,
1901,Tae Woo Lee,KOR,12/19/1991
1901,Trey Hilderbrand,USA,5/15/2000
1901,Vasil Dimitrov,BUL,12/5/2002
1901,Vasile Alexandru Ghilea,ROU,12/31/1993
1901,Victor Crivoi,ROU,5/25/1982
1901,Victorio Marquiselli,ARG,
1901,Vladyslav Gorodynskyi,UKR,8/12/1997
1901,Vuk Budic,USA,
1901,William Blumberg,USA,1/26/1998
1970,Adam Bronka,AUS,9/15/1999
1970,Adrian Barbu,ROU,7/29/1983
1970,Aleksi Lofman,FIN,2/21/2002
1970,Alexander Mannapov,GER,4/21/1995
1970,Alexandre Aubriot,FRA,6/6/1999
1970,Andrea Del Federico,ITA,12/24/1999
1970,Antun Vidak,CRO,5/12/1993
1970,Atharva Sharma,IND,
1970,Bartosz Wojnar,POL,9/26/1993
1970,Bingyu Yu,CHN,2/18/1999
1970,Charles Force,USA,10/18/1996
1970,Charles Tzicas,BEL,1/4/1999
1970,Christian Didier Chin,MAS,8/23/2000
1970,Claudio Fortuna,ITA,4/19/1990
1970,Daniel Litvinov,RUS,
1970,Daniil Savelev,RUS,
1970,David Barclay,AUS,9/6/1990
1970,David Vega Hernandez,ESP,6/23/1994
1970,Denis Parshutin,UKR,1/30/2000
1970,Dmytro Kamynin,UKR,10/28/1989
1970,Doru Junior Borsan,ROU,2/8/2001
1970,Eduard Vlasceanu,ROU,5/24/1998
1970,Emil Reinberg,USA,4/20/1997
1970,Emir Sendogan,TUR,
1970,Gian Luca Tanner,SUI,
1970,Gokul Suresh,IND,2/6/1997
1970,Gui Gomes,USA,1/23/1998
1970,Ioannis Stergiou,GRE,4/3/1995
1970,Janmagnus Johnson,USA,8/11/2000
1970,Javier Molino,ESP,5/14/2001
1970,Ju Hae Moon,KOR,5/31/1988
1970,Mario Gonzalez Fernandez,ESP,4/28/2002
1970,Moerani Bouzige,AUS,7/13/1999
1970,Nevin Arimilli,USA,10/29/1999
1970,Oleksander Byelinskyy,UKR,5/1/1994
1970,Robin Bertrand,FRA,
1970,Sahil Gaware,IND,7/8/1997
1970,Samuel Beren,USA,2/6/1997
1970,Sergis Kyratzis,CYP,5/12/1995
1970,Sherif Sabry,EGY,8/29/1986
1970,Shinnosuke Hiramatsu,JPN,10/11/1996
1970,Stepan Pecak,CZE,6/21/2000
1970,Sylvester Emmanuel,NGR,4/4/1998
1970,Tiago Torres,POR,7/8/2002
1970,Tom Schonenberg,GER,6/15/1991
1970,Wulfrano Martinez Mora Esdras,MEX,10/6/2001
1970,Yash Chaurasia,IND,12/9/2001
2017,Aaron Cohen,ISR,8/21/2002
2017,Alan Postay,ARG,11/21/1996
2017,Christopher Patzanovsky,GER,12/24/1997
2017,Clement Larriere,FRA,5/21/1997
2017,Dev Javia,IND,
2017,Dominik Langmajer,CZE,8/21/1999
2017,Dong Ju Kim,KOR,4/9/2002
2017,Eleftherios Theodorou,GRE,7/19/1996
2017,Felipe Santamaria,COL,7/1/1996
2017,Gabriel Diallo,CAN,9/24/2001
2017,Horst Rieder,ITA,4/14/1997
2017,Hugo Maia,POR,4/1/2001
2017,Iiro Vasa,FIN,
2017,Ioannis Stamoulos,GRE,
2017,Ivan Mikhaylyuk,RUS,10/11/1998
2017,Joan B Borras Isern,ESP,5/22/1999
2017,Jordi Walder,GER,7/19/1998
2017,Juan Ignacio Batalla,MEX,8/10/1999
2017,Kristijan Juhas,SRB,
2017,Lautaro Agustin Falabella,ARG,1/19/1998
2017,Louis Allen,GBR,
2017,Luca Sanchez,FRA,3/18/1999
2017,Max Westphal ,FRA,
2017,Michal Novansky,SVK,
2017,Mikel Aranzabal,ESP,3/22/2001
2017,Mislav Bosnjak,AUS,6/4/1998
2017,Mohamad Gomaa,EGY,8/4/1999
2017,Muzingaye Dickson Andile Sibanda,ZIM,10/8/1997
2017,Natthasith Kunsuwan,THA,2/23/2000
2017,Olexiy Kolisnyk,UKR,4/30/1996
2017,Oscar Gabriel Ortiz,ARG,9/24/1997
2017,Pavel Shchaya Zubrov,RUS,6/24/1994
2017,Raheel Manji,CAN,5/26/1997
2017,Rayane Oumaouche,FRA,6/22/1997
2017,Stamatis Kapiris,GRE,6/2/1999
2017,Sung Hun Kim,KOR,6/26/1995
2017,Tim Van Der Horst,NED,9/30/1995
2017,Tomas Luis,POR,3/13/2002
2017,Yu  Hsiang Chiu,TPE,11/5/1994
2017,Yuttana Charoenphon,THA,8/14/2000
2057,Alec Deckers,NED,5/2/2000
2057,Andrea Bessire,ITA,4/25/1999
2057,Aron Hiltzik,USA,4/17/1996
2057,Artsiom Bardzin,BLR,10/16/2000
2057,Christos Keisidis,GRE,10/20/1992
2057,Emmanuel Luria,ISR,7/29/1998
2057,Facundo Arias Bisso,ARG,9/30/1998
2057,Gaston Erhardt,ARG,
2057,Hao Yuan Ng,SIN,1/14/1995
2057,Ioannis Xilas,GRE,
2057,Jorge Martinez Martinez,ESP,9/23/1995
2057,Julien De Cuyper,FRA,5/18/1999
2057,Jurence Zosimo Mendoza,PHI,5/29/1996
2057,Lilian Breut,FRA,
2057,Mariano Alberto Hasenkopf,GER,11/15/2000
2057,Patric Prinoth,ITA,8/31/1996
2057,Pelle Boerma,GER,2/18/1997
2057,Ran Amar,ISR,5/5/1999
2057,Roee Benya,ISR,2/18/2000
2057,Shunsuke Wakita,JPN,7/26/1995
2077,Bastien Presuhn,GER,8/6/2000
2077,Emmett Ward,USA,5/4/1995
2077,Flemming Peters,GER,10/24/1995
2077,Francesco Bessire,ITA,2/21/1994
2077,Jakob Johansson Holm,SWE,5/15/1995
2077,Lorenzo Vatteroni,ITA,9/27/2000
2077,Matt Kuhar,USA,6/17/1996
2077,Nino Ehrenschneider,GER,
2077,Romain Faucon,BEL,
2077,Roni Mikael Hietaranta,FIN,9/24/2001
2077,Sharobiddin Abzalov,UZB,2/19/1998
2077,Sheng Hao Zhou,CHN,10/7/1996
2090,Bernardo Saraiva,POR,8/6/1993
2090,Gabriele Moghini,SUI,6/26/1996
2090,Leo Borg,SWE,5/15/2003
2090,Ondrej Styler,CZE,6/1/2000
2094,Georg Winkler,ITA,1/17/1997
2094,Giuseppe Tresca,ITA,6/17/1998
2094,Javier Naser,CHI,12/3/1996
2094,Nikolay Vylegzhanin,RUS,4/18/2000
2094,Or Ram Harel,ISR,2/1/1995
2094,Pavle Daljev,SRB,2/23/1992
2094,Roko Horvat,CRO,3/30/2001
2101,Bora Sengul,TUR,10/30/2001
2101,Franco Roncadelli,URU,2/6/2000
2101,Michalis Sakellaridis,GRE,1/15/2001
2101,Quentin Gueydan,FRA,7/25/1994
2101,Zura Tkemaladze,GEO,6/4/2000
2106,Ivan Marrero Curbelo,ESP,9/27/1998
2106,Ivar Jose Aramburu Contreras,MEX,3/21/1994
2106,Linus Frost,SWE,6/14/1995
2109,Moritz Trocker,ITA,4/22/2000
2110,Alexis Boureau,FRA,4/25/1996
2111,Umut Akkoyun,TUR,7/10/2000
